Time;T_in;T_ext;T_adj;T_sup;CO2;E_sol [J/m2];E_hea [J];E_elec [J]
01/10/2014;24,14;16,36;22,46;24,43;806,40;21308508,87;1146730,284;54472552,46
04/10/2014;22,57;11,45;21,42;22,43;957,60;14584573,48;44579139,8;76553697,54
07/10/2014;22,16;10,21;21,19;22,27;1041,92;14628784,04;59164115,6;63980905,46
10/10/2014;22,42;11,22;21,28;22,83;881,17;25713845,85;65399461,52;54232695,66
13/10/2014;22,31;12,00;21,34;22,62;869,94;8682954,556;52391239,86;57644390,1
16/10/2014;22,32;15,55;21,85;22,30;846,84;14637626,15;6092004,635;56992838,8
19/10/2014;22,50;13,37;21,68;22,23;853,72;16154539,69;16520083,16;54397373,46
22/10/2014;21,62;12,31;20,30;21,61;965,93;12119588,98;57587361,46;69093077,19
25/10/2014;22,46;13,24;20,73;22,31;1113,22;12226676,79;42106502,62;95398565,85
28/10/2014;22,22;13,75;22,14;22,10;962,11;12934045,79;322517,8924;71137229,88
31/10/2014;22,32;15,03;22,18;21,93;1034,97;12350466,36;1218400,927;63809067,76
03/11/2014;21,55;7,74;20,96;21,50;935,46;15999311,49;72100666,62;76489258,4
06/11/2014;19,85;8,47;20,80;19,44;974,57;4242249,125;73354902,86;75311454,13
09/11/2014;20,74;8,96;21,03;20,27;998,65;13027379,2;86076441,95;87239854,82
12/11/2014;21,70;10,75;20,59;21,33;900,25;6241549,026;23794653,4;81211215,33
15/11/2014;20,68;8,61;21,34;20,18;974,27;6799584,576;50742815,07;87408112,57
18/11/2014;20,34;9,62;21,13;19,85;903,96;10035797,78;17272624,91;82242241,56
21/11/2014;21,47;9,05;20,73;21,50;1114,82;4583161,688;88477408,49;88256561,24
24/11/2014;21,56;5,59;20,77;21,68;1044,99;7144426,966;118973267;80309067,38
27/11/2014;21,83;9,02;21,05;21,70;1172,14;3012213,02;86076441,95;98330546,69
30/11/2014;21,97;7,94;20,67;21,83;1048,08;5045898,913;86972324,99;92219568,31
03/12/2014;20,98;4,58;19,28;21,14;944,68;6398742,139;114673028,4;92473744,91
06/12/2014;20,23;4,66;18,98;20,00;1107,35;9249832,218;104854150,4;99143195,83
09/12/2014;20,78;5,13;19,88;20,83;826,41;7389058,748;173227943,5;83466585,21
12/12/2014;20,15;4,05;18,52;20,10;925,93;8253620,867;139399400,2;84182575,65
15/12/2014;20,59;6,55;19,11;20,55;887,03;6292636,788;102058995,3;93236274,73
18/12/2014;22,80;9,40;19,83;22,65;1004,96;5897689,092;129759698,7;97815033,57
21/12/2014;21,91;11,39;20,48;21,34;1140,22;3280423,768;48521025,15;104373506
24/12/2014;19,69;5,28;20,37;19,39;777,86;7138532,225;6307016,563;80473745,18
27/12/2014;19,86;1,35;19,66;19,97;965,24;10120289,08;227231772,9;100002384,4
30/12/2014;19,06;4,24;20,92;18,93;964,42;7826252,092;127430402,8;86394986,1
02/01/2015;20,83;4,17;19,87;20,50;1037,98;8063024,218;92025105,3;112775653,8
05/01/2015;20,60;5,89;20,96;20,33;1067,40;4798319,761;124742753,7;103915272,1
08/01/2015;21,21;9,14;19,71;20,83;1031,04;7263304,258;60848375,7;102587109,8
11/01/2015;20,77;6,16;20,78;20,47;967,41;6060776,946;134884149,7;102676608,6
14/01/2015;21,51;4,42;20,27;21,22;894,02;9985692,476;141083660,3;92896179,27
17/01/2015;20,66;2,08;19,68;20,51;871,40;10585973,67;147820700,7;94772074,21
20/01/2015;20,59;2,16;20,42;20,30;862,06;9141761,953;120944209,7;95652742,45
23/01/2015;20,93;4,26;19,02;20,58;925,37;11987939,75;160900593;87554890,61
26/01/2015;20,08;5,95;21,01;19,62;865,76;8044357,536;57766538,06;84243434,84
29/01/2015;20,65;1,68;20,74;20,65;811,65;9911025,747;176273945,9;95044150,58
01/02/2015;20,35;1,77;20,43;20,40;863,86;15341065,33;114852205;85575177,05
04/02/2015;20,67;2,07;19,74;20,74;817,75;12195238,16;119295784,9;80484485,04
07/02/2015;20,74;4,42;19,57;20,91;935,84;16680154,16;155166941,6;72300714,34
10/02/2015;20,64;3,53;19,40;21,06;848,65;2552423,165;167816810;90332933,5
13/02/2015;21,52;5,99;20,55;21,49;1051,28;8492357,907;103384902,2;113667061,9
16/02/2015;21,52;5,79;20,13;21,51;934,80;18718752,34;121410068,8;81794747,54
19/02/2015;21,54;5,31;19,02;21,45;966,42;16549487,38;94139389,26;86906919,26
22/02/2015;21,64;4,70;19,98;21,30;937,39;22645632,78;76687587,75;108451071,5
25/02/2015;22,58;6,69;19,37;22,03;931,37;18552717,11;66868709,69;116899758,7
28/02/2015;22,49;6,25;20,48;21,74;1031,26;20518613,48;51101168,29;134076369,3
03/03/2015;23,20;6,11;19,92;22,75;882,96;25971249,57;43324903,55;105844866,3
06/03/2015;22,70;9,64;20,84;22,33;956,80;24923950,45;72674031,76;89097850
09/03/2015;22,48;7,06;19,84;22,55;842,93;28196514,57;46406741,19;70986871,89
12/03/2015;20,64;7,81;19,85;20,58;829,80;29583743,79;7167064,276;64568017,62
15/03/2015;20,71;6,09;19,70;20,67;805,51;12490957,71;67621251,44;78733888,42
18/03/2015;20,17;6,40;19,92;20,03;910,77;20951876,99;67012050,98;86616943,14
21/03/2015;21,89;7,03;19,80;21,65;824,60;27787812,47;50635309,11;75153936,24
24/03/2015;21,40;6,35;19,11;21,49;856,88;33480168,06;38630476,45;76779234,53
27/03/2015;21,51;9,09;20,13;21,42;918,70;24901381,62;35722263,46;81868565,15
30/03/2015;21,31;7,12;19,58;21,38;816,53;38192031,61;62568471,13;77430785,83
02/04/2015;22,00;8,33;20,63;22,09;943,04;27859531,83;1254236,248;73213602,15
05/04/2015;22,54;10,94;21,17;22,81;879,62;40944876;18347684,55;61668256,35
08/04/2015;23,31;12,56;21,46;24,13;723,76;51872744,69;26625643,79;57683769,57
11/04/2015;22,70;9,47;21,72;22,91;861,88;42726070,45;1433412,855;62824580,91
14/04/2015;23,00;12,51;21,43;23,40;724,84;47767057,08;680871,1062;53233889
17/04/2015;22,64;8,86;21,26;22,99;750,45;50057164,24;1648424,783;57526251,67
20/04/2015;23,15;11,12;21,33;23,96;753,55;60734506,41;1003388,999;52557278,04
23/04/2015;23,10;12,74;21,12;23,79;649,31;53905448,13;1433412,855;64088304,03
26/04/2015;23,31;8,81;20,71;24,04;710,08;64132825,01;36372851,2;41241049,18
29/04/2015;22,55;8,50;21,13;22,65;904,84;46176459,27;895883,0345;53906920,01
02/05/2015;22,57;11,97;21,85;22,47;724,82;40866279,44;17415966,19;39884247,3
05/05/2015;23,52;11,49;21,78;23,68;821,82;38584031,94;1469248,177;53058471,35
08/05/2015;23,25;12,11;21,50;23,26;766,11;41685648,54;2580143,139;62992838,66
11/05/2015;24,29;14,27;22,55;24,42;728,31;65403141,86;716706,4276;52961812,64
14/05/2015;22,74;11,95;21,75;22,84;634,42;54782782,19;1612589,462;47760142,11
17/05/2015;23,51;10,62;22,06;23,75;790,64;47194284,68;12649868,45;53527445,08
20/05/2015;24,39;14,50;22,25;24,39;708,58;66469107,65;1540918,819;56738662,19
23/05/2015;23,72;13,98;22,68;23,90;760,46;44545580,73;2830990,389;56352027,36
26/05/2015;23,20;13,23;22,06;23,08;672,32;60215769,14;1791766,069;62459425,79
29/05/2015;23,18;12,02;21,90;23,22;819,26;49856743,02;10714761,09;62258948,46
01/06/2015;23,25;13,27;21,93;22,88;733,94;57364679,06;2293460,568;58700475,99
04/06/2015;24,74;16,17;23,24;24,52;622,68;73993745,46;2436801,854;64843673,94
07/06/2015;24,48;12,73;22,63;24,68;675,96;67519354,13;1576754,141;65860380,36
10/06/2015;24,29;14,60;22,70;25,06;607,61;79389399,05;537529,8207;51866347,27
13/06/2015;24,54;13,58;22,57;24,58;776,05;33990063,22;2580143,139;80957038,73
16/06/2015;25,05;16,80;23,19;25,45;566,28;55053940,31;322517,8924;63093077,32
19/06/2015;22,90;15,42;22,21;23,02;593,93;49056040,6;1146730,284;63690929,34
22/06/2015;22,41;15,17;22,43;22,80;591,48;53099833,43;1720095,426;64492838,63
25/06/2015;24,53;19,08;24,53;24,98;533,68;58474855,42;2508472,497;51465392,62
28/06/2015;25,23;20,86;25,07;25,86;551,82;66663634,13;1075059,641;51393793,58
01/07/2015;27,90;22,50;27,38;28,87;497,16;44573089,53;1039224,32;33486872,75
04/07/2015;25,51;18,59;25,33;26,00;523,34;55963695,45;1540918,819;55317421,17
07/07/2015;23,43;16,34;23,55;23,40;548,71;53552746,08;609200,4635;50251788,83
10/07/2015;24,89;19,84;24,87;25,31;573,62;59751067;1003388,999;47634843,78
13/07/2015;24,40;18,87;25,05;24,97;527,07;44762703,72;895883,0345;44201669,64
16/07/2015;24,41;18,32;24,37;25,01;553,71;64524825,34;1684260,105;41982099,28
19/07/2015;24,56;17,69;24,07;24,79;536,12;54710080,37;1146730,284;41076371,38
22/07/2015;22,64;15,83;23,88;23,20;533,85;33333781,98;1003388,999;36522672,2
25/07/2015;23,06;14,92;22,82;23,31;861,34;28293777,81;680871,1062;60544151,37
28/07/2015;23,82;14,36;22,72;23,64;632,59;37008170,98;1146730,284;63100237,23
31/07/2015;24,53;17,05;22,69;24,51;648,42;60095909,39;430023,8566;63483292,11
03/08/2015;26,21;18,43;24,84;25,92;587,55;49704462,19;967553,6773;67489258,61
06/08/2015;25,73;18,82;24,99;25,73;526,36;48779970,2;1755930,748;57812647,85
09/08/2015;27,23;19,16;25,45;27,53;561,68;52088885,22;1899272,033;38917660,21
12/08/2015;26,33;17,05;24,81;26,11;513,59;36329293,23;501694,4993;62863960,38
15/08/2015;24,58;15,58;23,54;24,70;620,52;45440599,02;1218400,927;63451072,54
18/08/2015;24,37;16,87;23,81;24,61;609,21;30317639,13;609200,4635;76188542,42
21/08/2015;26,43;21,49;26,28;27,17;521,79;41688595,91;1433412,855;63995225,27
24/08/2015;24,25;16,68;24,99;24,64;573,74;35535468,01;824212,3917;61482098,84
27/08/2015;24,24;16,77;24,02;24,34;601,55;51358919,7;1146730,284;64056084,46
30/08/2015;23,14;15,79;23,81;23,21;583,61;24420932,49;1218400,927;65695702,56
02/09/2015;21,59;13,54;22,18;21,90;557,81;32541921,67;32502636,49;58274461,68
05/09/2015;23,08;13,65;22,55;23,40;638,70;36428521,38;27664868,11;76621716,63
08/09/2015;21,94;14,65;22,53;22,11;568,86;33274834,56;34581085,13;66605010,42
11/09/2015;23,34;15,75;23,85;23,59;616,86;38580102,11;1755930,748;59026251,64
14/09/2015;22,83;12,70;23,35;22,53;550,61;21532509,05;52964605;87275654,34
17/09/2015;22,94;13,74;23,18;23,10;682,48;34402695,14;537529,8207;72916466,12
20/09/2015;22,30;13,56;23,47;23,00;578,51;29076796;26123949,29;69247015,13
23/09/2015;22,38;13,61;23,28;23,22;544,95;33817150,8;824212,3917;60132456,86
26/09/2015;23,42;12,57;23,02;23,78;573,96;39952594,47;19351073,55;62606203,83
29/09/2015;22,50;13,16;23,34;24,25;541,32;32720099,93;47031813,35;70134756,56
